"recorded_outcome","admission_grade","age"
"Graduate",122.8,18
"Graduate",121.6,18
"Graduate",149.2,18
"Graduate",140,18
"Graduate",133.4,19
"Graduate",126.2,19
"Graduate",127.8,18
"Graduate",150,21
"Dropout",113.7,20
"Graduate",117.8,20
"Graduate",136.7,19
"Graduate",144.7,20
"Graduate",139.8,18
"Dropout",113.7,20
"Dropout",140,29
"Enrolled",142.3,18
"Graduate",119.6,20
"Graduate",123.7,22
"Graduate",143,47
"Graduate",100.1,31
"Graduate",119.4,21
"Graduate",122.1,21
"Graduate",100,24
"Enrolled",113.9,18
"Graduate",101,32
"Graduate",111.8,19
"Graduate",140,24
"Graduate",124.4,19
"Graduate",150,19
"Enrolled",140,24
"Graduate",116,18
"Dropout",135.6,19
"Graduate",121,19
"Graduate",118.7,18
"Graduate",125.7,18
"Graduate",107.1,20
"Graduate",125.5,18
"Graduate",127,18
"Graduate",113.5,21
"Graduate",154.4,18
"Dropout",122,18
"Dropout",128,19
"Enrolled",115.5,19
"Graduate",117.2,18
"Dropout",150,34
"Graduate",155.3,19
"Dropout",120,19
"Graduate",116.1,26
"Dropout",118.9,21
"Graduate",127.3,18
"Graduate",113.7,20
"Dropout",118.5,25
"Graduate",146.7,18
"Graduate",124.3,18
"Graduate",137.8,19
"Graduate",130.2,18
"Enrolled",147.8,20
"Dropout",150,26
"Graduate",100,19
"Graduate",155.6,19
"Graduate",117.4,19
"Enrolled",128.8,19
"Graduate",117.5,18
"Graduate",120.4,19
"Graduate",130.9,18
"Enrolled",125,18
"Enrolled",136.8,18
"Enrolled",121.6,18
"Dropout",151,26
"Graduate",103.5,20
"Graduate",119.4,19
"Graduate",134.4,18
"Graduate",143,19
"Graduate",110,40
"Graduate",132.5,18
"Graduate",114.7,19
"Graduate",166.9,18
"Enrolled",125.9,19
"Dropout",178.3,18
"Graduate",117,33
"Graduate",150,35
"Enrolled",130,26
"Graduate",135.1,18
"Enrolled",110,36
"Graduate",136.2,39
"Graduate",116,44
"Enrolled",100,20
"Dropout",116.3,24
"Graduate",134,20
"Dropout",124.2,19
"Graduate",134.5,18
"Dropout",120.7,22
"Graduate",127.1,18
"Graduate",133,24
"Dropout",128.2,33
"Enrolled",130,30
"Dropout",172,26
"Graduate",128.5,18
"Dropout",128.5,19
"Enrolled",112,20
"Graduate",142.5,22
"Enrolled",133,19
"Graduate",106,21
"Graduate",125.5,21
"Enrolled",131.2,19
"Graduate",112.9,19
"Dropout",124.8,18
"Graduate",140.9,50
"Enrolled",148,31
"Graduate",148.4,19
"Graduate",129.7,35
"Dropout",128.2,31
"Enrolled",104,42
"Dropout",119.9,34
"Graduate",141,18
"Enrolled",116.6,18
"Enrolled",140,21
"Dropout",140,26
"Enrolled",100,20
"Enrolled",121,19
"Graduate",117,19
"Graduate",140.2,20
"Graduate",129.3,19
"Graduate",145.3,18
"Graduate",146.2,28
"Enrolled",122.5,22
"Graduate",156.1,21
"Enrolled",140,21
"Enrolled",140,26
"Dropout",128.4,18
"Dropout",115,20
"Graduate",158.7,18
"Graduate",124.5,19
"Graduate",111.9,20
"Graduate",150,22
"Dropout",114.2,18
"Dropout",96,19
"Enrolled",128.9,18
"Enrolled",121.7,20
"Enrolled",114.8,19
"Enrolled",127,19
"Graduate",131.3,19
"Graduate",137.1,18
"Graduate",120,21
"Graduate",139,27
"Graduate",129.1,19
"Dropout",128.2,25
"Graduate",120.8,18
"Graduate",135.8,24
"Graduate",118.9,20
"Graduate",140,26
"Graduate",127.1,20
"Graduate",137,18
"Graduate",127.4,19
"Dropout",97,23
"Graduate",126.3,18
"Dropout",127.5,18
"Graduate",126.6,19
"Graduate",120,30
"Dropout",140,29
"Graduate",131.5,19
"Graduate",112.2,20
"Graduate",150.5,20
"Graduate",121,19
"Enrolled",112.2,20
"Dropout",129.4,21
"Graduate",114.4,19
"Graduate",120.3,18
"Graduate",120,27
"Graduate",114.5,19
"Dropout",127.8,19
"Graduate",124.6,19
"Graduate",130.3,18
"Enrolled",118.2,20
"Graduate",118.8,18
"Dropout",133,19
"Graduate",129,36
"Enrolled",100,18
"Enrolled",120.7,18
"Graduate",132.5,19
"Graduate",120.3,18
"Graduate",114.6,18
"Graduate",116.5,19
"Graduate",127.8,19
"Dropout",129.9,18
"Graduate",118.9,20
"Enrolled",114.3,20
"Graduate",114.8,20
"Graduate",123,18
"Graduate",122.1,18
"Graduate",123.7,19
"Enrolled",132.4,19
"Graduate",114.8,44
"Dropout",130,32
"Dropout",122.3,22
"Graduate",152.4,36
"Graduate",120.1,18
"Graduate",155.1,20
"Graduate",124.5,20
"Graduate",126.9,19
"Graduate",153.2,24
"Enrolled",129.8,20
"Dropout",135,27
"Enrolled",131.3,20
"Graduate",125.2,23
"Graduate",141.3,18
"Graduate",117.1,18
"Graduate",126.5,20
"Graduate",120.1,20
"Dropout",128.4,23
"Graduate",140,20
"Dropout",110,28
"Graduate",116.8,21
"Dropout",104.5,21
"Dropout",140,28
"Graduate",113.2,18
"Enrolled",118.6,21
"Graduate",123.8,19
"Graduate",126.7,18
"Dropout",133.8,19
"Enrolled",140,20
"Graduate",100.6,20
"Graduate",132.7,18
"Dropout",106.6,20
"Dropout",140.4,31
"Graduate",128.3,19
"Graduate",118.6,19
"Graduate",123.4,23
"Graduate",124,19
"Graduate",121.3,20
"Enrolled",101,22
"Enrolled",116.9,18
"Dropout",130,27
"Dropout",120,29
"Graduate",130.4,18
"Graduate",118.7,18
"Graduate",131.5,18
"Enrolled",120.4,20
"Graduate",129.1,18
"Enrolled",132,18
"Dropout",130,28
"Graduate",132.8,18
"Enrolled",143.7,27
"Enrolled",152.8,26
"Graduate",133.5,18
"Dropout",146.2,18
"Dropout",115.2,21
"Enrolled",120.7,18
"Dropout",101.8,32
"Graduate",100,28
"Dropout",121.9,40
"Dropout",120.4,39
"Dropout",120.4,39
"Graduate",148.8,50
"Dropout",123,23
"Dropout",100,48
"Dropout",112.1,23
"Graduate",126.8,18
"Graduate",115.9,18
"Graduate",132.5,20
"Graduate",132.2,18
"Dropout",183.5,18
"Dropout",136,31
"Enrolled",100.9,24
"Graduate",114.5,24
"Dropout",110.3,26
"Dropout",137.2,18
"Enrolled",116.9,19
"Dropout",121.8,22
"Graduate",127.3,18
"Dropout",120,20
"Graduate",150,25
"Graduate",100,24
"Dropout",150,27
"Graduate",116.9,21
"Graduate",140,21
"Dropout",122.1,19
"Graduate",160,28
"Enrolled",118.4,20
"Graduate",150,21
"Graduate",144.9,18
"Enrolled",121.1,18
"Enrolled",121.8,20
"Enrolled",146.8,25
"Enrolled",138,22
"Enrolled",138,18
"Graduate",116.3,19
"Dropout",122.5,19
"Dropout",115,25
"Dropout",115,21
"Dropout",119.8,19
"Dropout",95,20
"Dropout",150,25
"Enrolled",117.8,20
"Graduate",144.2,18
"Enrolled",130,23
"Graduate",128.2,23
"Graduate",135.3,21
"Enrolled",143.9,20
"Dropout",140.7,25
"Graduate",130.4,18
"Graduate",123.2,22
"Graduate",118,27
"Dropout",120,25
"Dropout",118.9,18
"Graduate",117.2,20
"Graduate",120,27
"Graduate",118.1,20
"Dropout",124.8,22
"Dropout",106.5,19
"Enrolled",116.8,20
"Graduate",109.3,19
"Dropout",120,29
"Graduate",137.5,19
"Enrolled",150,28
"Graduate",120.4,20
"Graduate",136.7,20
"Dropout",118.5,31
"Graduate",133,18
"Enrolled",128.8,19
"Graduate",133,18
"Graduate",102,19
"Graduate",133.9,18
"Graduate",127,19
"Graduate",120.4,18
"Graduate",124.5,19
"Graduate",123.9,19
"Graduate",117.8,18
"Enrolled",126.7,19
"Graduate",110,20
"Enrolled",134.7,20
"Enrolled",113.2,20
"Dropout",141,29
"Dropout",111.5,20
"Dropout",140,31
"Graduate",134.3,20
"Graduate",125.3,21
"Dropout",140,23
"Dropout",119.6,21
"Graduate",170,24
"Graduate",150.5,27
"Graduate",128,18
"Dropout",108.7,21
"Dropout",121.6,19
"Graduate",125.3,19
"Dropout",117.6,18
"Enrolled",124.3,18
"Graduate",106.1,20
"Graduate",139.9,24
"Graduate",110.8,20
"Enrolled",118,20
"Graduate",117.8,19
"Graduate",127.5,18
"Graduate",129.7,20
"Graduate",130.6,20
"Graduate",126.3,19
"Enrolled",140,19
"Graduate",105,20
"Dropout",114.6,19
"Dropout",114.6,19
"Graduate",131,18
"Dropout",109,23
"Dropout",132,21
"Graduate",130,23
"Graduate",109.5,19
"Graduate",115.9,18
"Graduate",131.6,19
"Graduate",120,25
"Enrolled",109.7,19
"Graduate",136.4,19
"Graduate",120,24
"Graduate",132.6,18
"Graduate",112.9,19
"Graduate",134.3,18
"Enrolled",123.2,27
"Graduate",117.2,19
"Dropout",129.8,18
"Dropout",158,34
"Enrolled",116.5,18
"Enrolled",121,18
"Enrolled",133.8,18
"Dropout",115,20
"Enrolled",131.8,19
"Enrolled",121,21
"Graduate",152.4,26
"Graduate",110.2,27
"Graduate",113.5,20
"Graduate",144.4,18
"Enrolled",143.3,23
"Graduate",100,24
"Graduate",126.3,19
"Graduate",115.9,19
"Enrolled",114.9,19
"Enrolled",121,18
"Graduate",112.3,22
"Graduate",127,20
"Dropout",120,25
"Graduate",180,21
"Enrolled",117.4,19
"Graduate",115.8,18
"Graduate",136.5,18
"Graduate",129,19
"Graduate",137.6,19
"Dropout",129.5,18
"Graduate",129.1,20
"Dropout",130.2,19
"Graduate",134.3,28
"Graduate",138.4,20
"Dropout",120,30
"Graduate",123.5,19
"Graduate",116.1,22
"Graduate",110.8,18
"Dropout",142.8,23
"Graduate",155.5,18
"Enrolled",126.7,18
"Dropout",163.5,50
"Graduate",161.9,19
"Graduate",123.3,22
"Graduate",137.5,23
"Dropout",166.6,20
"Dropout",103.5,44
"Graduate",110,49
"Graduate",128.2,46
"Dropout",137.7,41
"Graduate",128.8,18
"Graduate",170,43
"Dropout",116.4,70
"Dropout",100.9,48
"Graduate",136,41
"Enrolled",130,21
"Dropout",100,35
"Graduate",157,44
"Dropout",152.1,18
"Graduate",162.9,45
"Enrolled",137.2,20
"Graduate",140,22
"Dropout",146.5,39
"Enrolled",130,20
"Dropout",128,49
"Dropout",190,43
"Dropout",133.2,32
"Graduate",124.3,47
"Dropout",138.1,37
"Graduate",144.3,41
"Graduate",140,60
"Graduate",148.3,47
"Dropout",96,50
"Dropout",121.7,45
"Dropout",160,45
"Graduate",110.3,33
"Graduate",129,18
"Graduate",150,43
"Graduate",100,44
"Dropout",107.5,29
"Dropout",170,53
"Enrolled",123,37
"Enrolled",138.5,18
"Dropout",140,35
"Enrolled",113.6,23
"Graduate",170,22
"Dropout",115.5,33
"Dropout",130,41
"Graduate",140,51
"Graduate",126.6,19
"Dropout",143.2,35
"Graduate",131.4,20
"Enrolled",133.3,18
"Dropout",118.3,18
"Graduate",140,21
"Graduate",124.7,21
"Graduate",140,34
"Dropout",150,34
"Graduate",115.6,21
"Enrolled",116.9,32
"Dropout",123.4,30
"Enrolled",146.5,19
"Dropout",117.1,20
"Dropout",113.9,18
"Graduate",128.7,19
"Dropout",132.9,18
"Dropout",123,27
"Graduate",129.8,52
"Dropout",156.1,29
"Dropout",120,22
"Graduate",117.2,28
"Dropout",107,30
"Graduate",128.4,18
"Graduate",123.4,21
"Graduate",126.7,20
"Graduate",123,21
"Dropout",137.2,32
"Graduate",125.9,20
"Dropout",138,19
"Dropout",128.2,18
"Dropout",126.5,23
"Graduate",112.4,20
"Graduate",109,46
"Graduate",100,27
"Enrolled",144.7,20
"Graduate",120,41
"Enrolled",100,40
"Graduate",154,37
"Enrolled",111.3,20
"Enrolled",150,20
"Graduate",100,26
"Graduate",162.5,54
"Graduate",134.1,21
"Graduate",133,20
"Dropout",119,18
"Enrolled",131.1,19
"Graduate",129.4,18
"Enrolled",123.9,19
"Dropout",140,22
"Graduate",162,19
"Dropout",131.6,21
"Enrolled",110.6,20
"Graduate",117.4,18
"Graduate",137.8,18
"Dropout",106.7,20
"Graduate",156.9,18
"Enrolled",129,18
"Graduate",124.8,20
"Graduate",115.1,19
"Graduate",146.7,18
"Graduate",132.8,18
"Dropout",159.1,18
"Graduate",137.6,20
"Graduate",124,19
"Dropout",149,36
"Graduate",129.6,19
"Graduate",110,18
"Graduate",116.1,18
"Graduate",133.3,18
"Graduate",144.3,19
"Graduate",133.6,18
"Graduate",123.2,19
"Enrolled",137.2,18
"Enrolled",130,22
"Dropout",110,18
"Graduate",118,19
"Graduate",128.4,18
"Graduate",113.6,19
"Enrolled",113.5,20
"Graduate",146.9,18
"Enrolled",141.3,23
"Dropout",129.7,20
"Enrolled",121.3,20
"Dropout",109.1,22
"Graduate",107.1,18
"Graduate",129.2,18
"Graduate",154.1,18
"Graduate",147.2,18
"Enrolled",120,21
"Enrolled",130.8,20
"Graduate",120.8,18
"Enrolled",125.4,20
"Graduate",121.3,25
"Graduate",127,18
"Graduate",151.6,19
"Enrolled",131.6,20
"Graduate",106,20
"Graduate",111.6,21
"Graduate",117.3,18
"Dropout",121.4,18
"Graduate",126.1,18
"Graduate",137,18
"Dropout",120.8,19
"Dropout",128.7,20
"Dropout",118,47
"Enrolled",120,21
"Dropout",160,31
"Dropout",150,46
"Enrolled",121.8,18
"Dropout",125.4,19
"Enrolled",126.6,23
"Dropout",150,22
"Graduate",114.5,19
"Dropout",107,19
"Enrolled",115.7,22
"Dropout",120,29
"Graduate",134.8,18
"Graduate",133.6,18
"Dropout",129,23
"Graduate",128.4,34
"Graduate",122.2,19
"Enrolled",113.3,18
"Graduate",129.9,20
"Graduate",126.2,19
"Enrolled",112.6,22
"Graduate",149,23
"Graduate",120,34
"Enrolled",120.4,18
"Dropout",128.1,21
"Dropout",141.7,22
"Dropout",130,28
"Dropout",113.3,23
"Dropout",105.9,20
"Dropout",122.7,18
"Dropout",120,28
"Dropout",119.8,21
"Dropout",122.9,25
"Dropout",160,19
"Graduate",125.2,18
"Dropout",143.4,29
"Dropout",96.7,29
"Graduate",126.9,20
"Graduate",143.1,18
"Graduate",114.5,20
"Dropout",140,33
"Graduate",113.7,30
"Enrolled",131.5,21
"Graduate",143.5,18
"Graduate",126.8,19
"Dropout",115.2,21
"Dropout",100,25
"Graduate",121.4,19
"Dropout",120,23
"Graduate",129.9,19
"Graduate",151.1,19
"Dropout",120,31
"Dropout",130,32
"Graduate",119,19
"Graduate",122,34
"Graduate",129.7,21
"Graduate",112.5,53
"Graduate",136,19
"Graduate",133.1,20
"Graduate",151.3,18
"Dropout",133.3,32
"Graduate",130.8,21
"Dropout",140,26
"Graduate",150,26
"Dropout",130,21
"Graduate",125.3,18
"Graduate",124,21
"Enrolled",113.8,21
"Graduate",124.4,19
"Dropout",107.7,19
"Graduate",110,19
"Graduate",130,27
"Graduate",138.8,18
"Dropout",126.3,20
"Graduate",114.5,19
"Dropout",116.5,20
"Graduate",128.6,19
"Enrolled",130,20
"Dropout",134.6,20
"Graduate",146.8,18
"Graduate",135.7,20
"Dropout",120,38
"Graduate",138,42
"Dropout",135.5,32
"Graduate",120,22
"Dropout",111.7,28
"Dropout",100,37
"Graduate",160,43
"Graduate",114.8,41
"Graduate",131,29
"Graduate",97,35
"Dropout",131.7,18
"Dropout",120,39
"Enrolled",110,37
"Graduate",133,26
"Dropout",140,32
"Enrolled",100,37
"Enrolled",129.3,28
"Dropout",137,19
"Enrolled",122.2,18
"Graduate",108,19
"Graduate",110,32
"Dropout",127.7,31
"Enrolled",121.3,34
"Graduate",140.1,20
"Dropout",114.8,28
"Enrolled",150,31
"Enrolled",131.7,18
"Dropout",110,31
"Graduate",105.5,19
"Graduate",127.3,19
"Enrolled",130,31
"Dropout",130,34
"Graduate",122.7,18
"Graduate",113.9,18
"Graduate",151.1,19
"Dropout",125.8,22
"Graduate",128.2,32
"Dropout",135.1,61
"Graduate",120.2,30
"Dropout",132.8,45
"Graduate",140,20
"Dropout",129.3,19
"Dropout",108.2,26
"Dropout",125.4,19
"Graduate",140.2,19
"Graduate",116.1,19
"Graduate",137.8,19
"Dropout",128.4,19
"Dropout",106,28
"Graduate",130.2,24
"Graduate",126,18
"Enrolled",141,18
"Graduate",113,18
"Graduate",120,21
"Dropout",130.9,28
"Dropout",120,58
"Dropout",134.1,49
"Enrolled",120,24
"Graduate",114.8,25
"Dropout",123,33
"Dropout",118,33
"Graduate",100,40
"Graduate",151.1,48
"Enrolled",116.9,18
"Graduate",106,24
"Graduate",127.1,23
"Dropout",155.5,39
"Graduate",101,21
"Dropout",128.2,34
"Enrolled",113,41
"Graduate",122.8,18
"Enrolled",145.6,34
"Dropout",116.5,19
"Graduate",142,19
"Graduate",150,28
"Dropout",133.3,18
"Dropout",115.8,19
"Dropout",100,19
"Graduate",128.6,18
"Graduate",137.1,18
"Dropout",149,18
"Graduate",147,19
"Graduate",150,31
"Graduate",103.5,33
"Enrolled",107.8,20
"Enrolled",130,22
"Graduate",109.4,19
"Dropout",143.6,18
"Dropout",124.3,18
"Dropout",119.5,18
"Graduate",175.6,18
"Graduate",116.1,19
"Dropout",126.6,18
"Graduate",130.8,18
"Graduate",133.5,18
"Graduate",136.9,21
"Graduate",142.3,18
"Graduate",114.3,18
"Graduate",122.9,18
"Graduate",117.2,20
"Graduate",152,18
"Dropout",122.2,18
"Graduate",101.7,20
"Graduate",119.9,20
"Dropout",123.7,19
"Graduate",121.8,19
"Dropout",106.1,18
"Graduate",124.3,19
"Graduate",124.3,20
"Graduate",117.4,21
"Graduate",112.7,21
"Graduate",123.7,20
"Graduate",105.8,19
"Dropout",124.2,21
"Graduate",122.3,18
"Graduate",123.7,19
"Graduate",129.8,18
"Graduate",123.8,19
"Graduate",126.4,18
"Enrolled",115.1,18
"Graduate",138.4,18
"Graduate",118.2,18
"Dropout",121.7,18
"Enrolled",118,18
"Dropout",119.8,18
"Graduate",164.9,18
"Graduate",100,20
"Enrolled",121.6,18
"Graduate",120.4,18
"Graduate",117.8,20
"Graduate",110,40
"Graduate",128.8,18
"Graduate",116.6,19
"Dropout",120,24
"Dropout",157.5,19
"Graduate",136.3,19
"Graduate",121.5,20
"Graduate",133.9,18
"Graduate",136.8,18
"Graduate",133.5,19
"Dropout",130,18
"Graduate",140,19
"Graduate",132.7,19
"Graduate",117.8,19
"Dropout",126.1,19
"Graduate",120,19
"Dropout",100,25
"Graduate",116.8,20
"Dropout",128.3,23
"Dropout",117,20
"Graduate",131.5,27
"Graduate",134.8,18
"Enrolled",146.6,18
"Dropout",130,23
"Graduate",127.5,19
"Graduate",123,18
"Graduate",100,20
"Graduate",114.2,18
"Graduate",123.5,19
"Graduate",144.3,19
"Enrolled",142.2,19
"Graduate",161.9,18
"Graduate",135.9,18
"Graduate",110.1,18
"Dropout",122.5,28
"Dropout",138.1,19
"Dropout",117.3,20
"Graduate",106.8,19
"Graduate",120.1,20
"Graduate",116.5,19
"Enrolled",120,21
"Graduate",139.7,19
"Graduate",123.7,18
"Dropout",116.5,19
"Graduate",122.2,19
"Graduate",146,20
"Enrolled",108.8,18
"Enrolled",133,18
"Graduate",123.8,18
"Dropout",120,18
"Graduate",126.9,18
"Dropout",121.3,20
"Graduate",129,19
"Dropout",114.9,21
"Dropout",106.5,20
"Graduate",133.9,18
"Graduate",124.9,20
"Graduate",128.5,19
"Dropout",126.2,22
"Dropout",121.7,22
"Enrolled",120,18
"Enrolled",113.2,21
"Graduate",120.3,19
"Dropout",127.8,19
"Dropout",123.3,20
"Graduate",126.3,18
"Dropout",128.2,22
"Graduate",134.9,20
"Graduate",140,19
"Graduate",115.5,19
"Enrolled",106.7,20
"Enrolled",140,25
"Graduate",136.6,19
"Graduate",119.3,19
"Dropout",152,19
"Graduate",144.3,20
"Enrolled",159,25
"Graduate",129.5,20
"Enrolled",140,24
"Graduate",105.4,20
"Graduate",136,21
"Graduate",160,19
"Graduate",139.1,19
"Graduate",126.9,21
"Graduate",184,28
"Graduate",125,19
"Graduate",138.5,18
"Graduate",133.5,18
"Graduate",141.5,18
"Graduate",130,22
"Enrolled",131,19
"Graduate",145,18
"Dropout",114.3,20
"Dropout",108.3,26
"Graduate",125.2,18
"Dropout",131.7,21
"Graduate",126.3,18
"Graduate",147.6,20
"Graduate",125.1,18
"Enrolled",123.8,19
"Dropout",130.8,20
"Graduate",154.1,18
"Enrolled",122.6,20
"Graduate",103.5,22
"Enrolled",132.8,18
"Graduate",100,21
"Enrolled",115.8,18
"Graduate",133.8,18
"Graduate",118.5,18
"Dropout",150.3,19
"Enrolled",107.8,19
"Enrolled",127.5,19
"Graduate",120.5,19
"Enrolled",117.3,19
"Dropout",120.6,19
"Graduate",118.7,21
"Graduate",130.8,20
"Graduate",112.6,20
"Graduate",117.2,41
"Enrolled",130,32
"Graduate",131.8,18
"Graduate",97,35
"Dropout",130,32
"Graduate",148,37
"Dropout",103.4,30
"Graduate",127.1,23
"Dropout",124,20
"Graduate",121.4,21
"Graduate",118.1,19
"Graduate",121.3,18
"Dropout",119.5,18
"Enrolled",115.2,24
"Graduate",130.2,22
"Dropout",130,18
"Graduate",126.9,18
"Graduate",168.5,21
"Dropout",130,38
"Graduate",122.8,19
"Dropout",110,36
"Graduate",127.1,18
"Graduate",108.5,19
"Dropout",138.2,21
"Enrolled",96,19
"Graduate",124.5,18
"Enrolled",120,45
"Dropout",132.3,20
"Graduate",120.7,18
"Graduate",132.6,18
"Dropout",140,25
"Graduate",124.5,19
"Graduate",142,18
"Graduate",130,39
"Graduate",144,29
"Enrolled",128.5,18
"Dropout",140,23
"Dropout",113.9,21
"Graduate",137.2,18
"Graduate",140,23
"Graduate",152.3,18
"Graduate",112.5,32
"Dropout",101,29
"Graduate",112.3,20
"Dropout",114,28
"Graduate",130,27
"Graduate",121.5,22
"Enrolled",120,37
