"student_id","school","age","urban_home","travel_time","study_time","prior_failures","school_support","family_support","paid_tutoring","activities","higher_education","internet","absences","grade_period_1","grade_period_2","final_grade","pass"
"U033","GP",15,"R",1,2,0,"no","yes","no","yes","yes","yes",0,17,16,16,"Yes"
"U034","GP",15,"U",1,2,0,"no","no","no","yes","yes","yes",0,8,10,12,"Yes"
"U035","GP",16,"U",1,1,0,"no","yes","yes","no","yes","yes",0,12,14,15,"Yes"
"U036","GP",15,"U",2,1,0,"no","yes","no","yes","yes","no",0,8,7,6,"No"
"U037","GP",15,"U",1,3,0,"no","yes","no","yes","yes","yes",2,15,16,18,"Yes"
"U038","GP",16,"R",2,3,0,"no","yes","no","yes","yes","yes",7,15,16,15,"Yes"
"U039","GP",15,"R",1,3,0,"yes","yes","yes","yes","yes","yes",2,12,12,11,"Yes"
"U040","GP",15,"R",1,1,0,"yes","yes","yes","yes","yes","no",8,14,13,13,"Yes"
"U041","GP",16,"U",2,2,1,"no","yes","no","yes","yes","yes",25,7,10,11,"Yes"
"U042","GP",15,"U",1,1,0,"no","yes","no","no","yes","yes",8,12,12,12,"Yes"
"U043","GP",15,"U",1,2,0,"no","yes","no","yes","yes","yes",2,19,18,18,"Yes"
"U044","GP",15,"U",1,1,0,"yes","yes","no","no","yes","yes",0,8,8,11,"Yes"
"U045","GP",16,"U",2,2,1,"yes","no","no","yes","yes","yes",14,10,10,9,"No"
"U046","GP",15,"U",1,2,0,"yes","yes","yes","yes","yes","yes",8,8,8,6,"No"
"U047","GP",16,"U",1,2,0,"no","yes","no","no","yes","yes",12,11,12,11,"Yes"
"U048","GP",16,"U",1,4,0,"no","no","no","yes","yes","yes",4,19,19,20,"Yes"
"U049","GP",15,"U",1,2,0,"no","yes","yes","no","yes","no",2,15,15,14,"Yes"
"U050","GP",15,"U",1,2,1,"yes","yes","no","yes","yes","yes",2,7,7,7,"No"
"U051","GP",16,"U",3,2,0,"no","yes","yes","no","yes","yes",2,12,13,13,"Yes"
"U052","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",2,11,13,13,"Yes"
"U053","GP",15,"U",2,1,1,"no","no","no","no","yes","no",6,11,11,10,"Yes"
"U054","GP",15,"U",1,1,0,"yes","yes","yes","no","yes","yes",0,8,10,11,"Yes"
"U055","GP",15,"U",1,1,0,"no","no","yes","no","yes","yes",6,10,13,13,"Yes"
"U056","GP",16,"U",1,2,0,"no","no","yes","yes","yes","yes",8,8,9,10,"Yes"
"U057","GP",15,"U",1,2,0,"no","yes","yes","yes","yes","yes",0,14,15,15,"Yes"
"U058","GP",15,"U",1,2,0,"no","yes","no","yes","yes","no",4,14,15,15,"Yes"
"U059","GP",15,"U",1,2,0,"yes","yes","no","yes","yes","yes",2,9,10,9,"No"
"U060","GP",16,"U",1,2,0,"no","yes","no","no","yes","yes",2,15,16,16,"Yes"
"U061","GP",16,"R",1,2,0,"no","yes","no","yes","yes","no",6,10,11,11,"Yes"
"U062","GP",16,"U",4,1,0,"yes","yes","no","yes","yes","yes",6,10,8,11,"Yes"
"U063","GP",16,"U",1,2,0,"yes","no","no","yes","yes","yes",4,8,10,9,"No"
"U064","GP",16,"U",1,3,0,"yes","yes","yes","yes","yes","yes",2,10,9,9,"No"
"U065","GP",15,"U",1,2,0,"yes","no","no","yes","yes","yes",0,10,10,10,"Yes"
"U066","GP",16,"U",3,2,0,"no","yes","no","yes","yes","yes",2,16,15,15,"Yes"
"U067","GP",15,"U",1,4,0,"no","yes","no","yes","yes","yes",4,13,13,12,"Yes"
"U068","GP",16,"U",1,4,0,"yes","yes","yes","no","yes","yes",4,7,7,6,"No"
"U069","GP",15,"R",2,2,0,"yes","yes","yes","no","yes","yes",2,8,9,8,"No"
"U070","GP",15,"R",2,4,0,"no","yes","no","no","yes","yes",12,16,16,16,"Yes"
"U071","GP",16,"U",2,4,0,"no","yes","yes","no","yes","yes",0,13,15,15,"Yes"
"U072","GP",15,"U",1,4,0,"no","no","no","no","yes","yes",0,10,10,10,"Yes"
"U073","GP",15,"R",1,2,2,"yes","yes","no","no","yes","yes",2,8,6,5,"No"
"U074","GP",16,"U",1,1,0,"no","no","no","yes","yes","no",2,12,12,14,"Yes"
"U075","GP",16,"U",1,2,0,"yes","yes","yes","yes","yes","yes",54,11,12,11,"Yes"
"U076","GP",15,"U",1,2,0,"no","yes","yes","yes","yes","yes",6,9,9,10,"Yes"
"U077","GP",15,"U",2,4,0,"no","no","no","yes","yes","yes",8,11,11,10,"Yes"
"U078","GP",16,"U",1,4,0,"no","no","yes","no","yes","yes",0,11,11,11,"Yes"
"U079","GP",17,"U",2,1,3,"yes","yes","no","yes","no","yes",2,8,8,10,"Yes"
"U080","GP",16,"U",1,2,0,"no","yes","no","no","yes","yes",12,5,5,5,"No"
"U081","GP",15,"U",1,1,0,"yes","yes","yes","yes","yes","yes",2,10,12,12,"Yes"
"U082","GP",15,"U",1,3,0,"yes","no","yes","no","yes","yes",4,11,10,11,"Yes"
"U083","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",10,7,6,6,"No"
"U084","GP",15,"U",2,2,0,"no","no","yes","yes","yes","yes",4,15,15,15,"Yes"
"U085","GP",15,"U",1,2,0,"no","yes","no","yes","yes","yes",2,9,10,10,"Yes"
"U086","GP",15,"U",2,2,2,"no","no","yes","no","yes","yes",6,7,9,8,"No"
"U087","GP",16,"U",1,2,0,"no","yes","no","no","yes","no",4,8,7,6,"No"
"U088","GP",15,"U",1,3,0,"no","yes","no","yes","yes","yes",4,13,14,14,"Yes"
"U089","GP",16,"U",2,2,1,"no","no","yes","yes","yes","yes",12,11,10,10,"Yes"
"U090","GP",16,"U",1,2,0,"no","yes","no","no","yes","no",18,8,6,7,"No"
"U091","GP",16,"U",1,3,0,"no","yes","yes","no","yes","yes",0,7,7,8,"No"
"U092","GP",15,"U",1,1,0,"no","no","yes","yes","yes","yes",4,16,17,18,"Yes"
"U093","GP",16,"U",1,2,0,"yes","yes","no","no","yes","no",4,7,6,6,"No"
"U094","GP",16,"U",2,2,0,"no","yes","yes","yes","yes","yes",0,11,10,10,"Yes"
"U095","GP",15,"U",1,4,0,"no","yes","no","yes","yes","yes",6,11,13,14,"Yes"
"U096","GP",15,"R",2,4,1,"yes","yes","yes","yes","yes","yes",2,7,10,10,"Yes"
"U097","GP",16,"R",2,1,0,"yes","yes","no","yes","yes","yes",2,11,15,15,"Yes"
"U098","GP",16,"U",1,2,0,"no","yes","yes","no","yes","no",2,8,9,10,"Yes"
"U099","GP",16,"U",1,1,0,"no","no","no","yes","yes","yes",6,11,14,14,"Yes"
"U100","GP",16,"U",1,3,0,"yes","yes","yes","no","yes","yes",0,7,9,8,"No"
"U101","GP",16,"U",1,1,0,"yes","yes","yes","yes","yes","yes",14,7,7,5,"No"
"U102","GP",16,"U",1,3,0,"no","yes","no","yes","yes","yes",0,16,17,17,"Yes"
"U103","GP",15,"U",1,1,0,"no","yes","no","yes","yes","yes",4,10,13,14,"Yes"
"U104","GP",15,"U",2,2,0,"yes","yes","yes","no","yes","yes",26,7,6,6,"No"
"U105","GP",15,"U",1,2,0,"no","yes","yes","yes","yes","yes",0,16,18,18,"Yes"
"U106","GP",15,"U",1,4,0,"yes","no","no","no","yes","no",10,10,11,11,"Yes"
"U107","GP",15,"U",1,4,0,"yes","yes","yes","no","yes","yes",8,7,8,8,"No"
"U108","GP",16,"U",1,3,0,"no","yes","no","yes","yes","yes",2,16,18,18,"Yes"
"U109","GP",15,"R",4,4,0,"no","yes","yes","yes","yes","yes",6,10,13,13,"Yes"
"U110","GP",16,"U",1,3,0,"no","yes","yes","yes","yes","yes",4,14,15,16,"Yes"
"U111","GP",15,"U",1,1,0,"no","no","no","yes","yes","yes",6,18,19,19,"Yes"
"U112","GP",16,"R",1,3,1,"yes","yes","no","yes","yes","yes",0,7,10,10,"Yes"
"U113","GP",16,"U",1,2,1,"yes","no","no","yes","yes","yes",6,10,13,13,"Yes"
"U114","GP",15,"U",1,1,0,"no","no","no","no","yes","yes",10,18,19,19,"Yes"
"U115","GP",15,"R",1,2,0,"no","no","no","yes","yes","yes",8,9,9,9,"No"
"U116","GP",16,"U",1,2,0,"no","yes","no","yes","yes","yes",2,15,15,16,"Yes"
"U117","GP",15,"U",2,2,0,"no","yes","no","yes","yes","no",2,11,13,14,"Yes"
"U118","GP",16,"U",2,1,0,"no","no","no","yes","yes","yes",0,13,14,13,"Yes"
"U119","GP",17,"R",3,2,1,"no","yes","no","yes","yes","yes",20,9,7,8,"No"
"U120","GP",15,"U",1,1,0,"no","no","no","no","yes","yes",6,14,13,13,"Yes"
"U121","GP",15,"U",1,2,0,"no","no","no","no","yes","yes",2,16,15,15,"Yes"
"U122","GP",15,"U",1,4,0,"no","yes","yes","yes","yes","yes",6,16,14,15,"Yes"
"U123","GP",16,"U",2,2,0,"no","yes","yes","yes","yes","yes",2,13,13,13,"Yes"
"U124","GP",16,"U",1,1,0,"no","yes","no","yes","yes","yes",18,14,11,13,"Yes"
"U125","GP",16,"U",1,2,0,"no","no","yes","no","yes","yes",0,8,7,8,"No"
"U126","GP",15,"U",1,1,0,"yes","no","no","no","yes","yes",0,13,13,12,"Yes"
"U127","GP",15,"U",1,2,0,"yes","no","no","yes","yes","yes",0,7,10,11,"Yes"
"U128","GP",19,"U",1,2,3,"no","yes","no","no","no","no",2,7,8,9,"No"
"U129","GP",18,"R",1,1,2,"no","yes","no","yes","yes","yes",0,7,4,0,"No"
"U130","GP",16,"R",1,1,0,"no","no","yes","yes","yes","yes",8,18,18,18,"Yes"
"U131","GP",15,"R",2,3,2,"no","yes","no","no","yes","yes",0,12,0,0,"No"
"U132","GP",15,"U",3,1,0,"no","yes","no","yes","yes","yes",0,8,0,0,"No"
"U133","GP",17,"U",1,1,0,"no","yes","no","no","yes","yes",12,10,13,12,"Yes"
"U134","GP",16,"U",1,1,0,"no","no","no","no","yes","yes",16,12,11,11,"Yes"
"U135","GP",15,"R",4,2,0,"no","yes","no","no","yes","no",0,9,0,0,"No"
"U136","GP",15,"U",1,3,0,"no","yes","no","yes","yes","yes",0,11,0,0,"No"
"U137","GP",17,"R",3,2,0,"no","no","no","no","yes","no",0,10,0,0,"No"
"U138","GP",16,"U",2,1,2,"no","yes","no","yes","yes","yes",0,4,0,0,"No"
"U139","GP",16,"U",1,2,1,"no","no","no","no","yes","no",0,14,12,12,"Yes"
"U140","GP",15,"U",2,1,0,"no","no","no","yes","yes","yes",0,16,16,15,"Yes"
"U141","GP",15,"U",2,4,0,"yes","yes","no","no","yes","yes",0,7,9,0,"No"
"U142","GP",16,"U",2,1,2,"no","yes","no","yes","yes","yes",8,9,9,9,"No"
"U143","GP",15,"U",1,3,0,"no","yes","yes","yes","yes","yes",2,9,11,11,"Yes"
"U144","GP",16,"U",1,1,0,"no","no","no","no","yes","yes",2,14,14,13,"Yes"
"U145","GP",17,"U",1,1,3,"no","yes","no","no","yes","yes",0,5,0,0,"No"
"U146","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",0,8,11,11,"Yes"
"U147","GP",15,"U",1,2,3,"no","yes","no","no","yes","yes",0,6,7,0,"No"
"U148","GP",15,"U",1,2,0,"no","yes","yes","no","yes","yes",2,10,11,11,"Yes"
"U149","GP",16,"U",1,1,0,"no","yes","no","no","no","yes",0,7,6,0,"No"
"U150","GP",15,"U",4,1,3,"no","no","no","no","yes","yes",0,8,9,10,"Yes"
"U151","GP",18,"U",1,1,3,"no","no","no","no","no","yes",0,6,5,0,"No"
"U152","GP",16,"U",1,1,1,"no","no","no","yes","yes","no",6,12,13,14,"Yes"
"U153","GP",15,"R",2,3,2,"no","yes","yes","yes","yes","yes",8,10,10,10,"Yes"
"U154","GP",19,"U",1,1,3,"no","yes","no","no","no","yes",0,5,0,0,"No"
"U155","GP",17,"U",1,1,0,"yes","yes","no","no","yes","no",0,11,11,12,"Yes"
"U156","GP",15,"R",1,2,0,"yes","no","yes","yes","yes","no",2,11,8,8,"No"
"U157","GP",17,"R",1,1,0,"no","no","no","no","yes","no",8,16,12,13,"Yes"
"U158","GP",18,"R",3,1,3,"no","yes","no","yes","yes","no",6,9,8,10,"Yes"
"U159","GP",16,"R",3,1,0,"no","no","no","no","yes","no",2,17,15,15,"Yes"
"U160","GP",16,"U",1,2,1,"no","yes","yes","no","yes","yes",4,10,12,12,"Yes"
"U161","GP",17,"R",2,1,2,"no","no","no","yes","no","yes",0,7,6,0,"No"
"U162","GP",15,"R",2,2,2,"yes","yes","no","no","yes","yes",6,5,9,7,"No"
"U163","GP",16,"U",2,1,1,"no","no","no","yes","yes","no",0,7,0,0,"No"
"U164","GP",17,"U",1,1,0,"no","no","no","no","no","yes",2,10,10,10,"Yes"
"U165","GP",17,"R",4,2,3,"no","no","no","yes","no","no",0,5,8,7,"No"
"U166","GP",16,"U",2,1,1,"no","yes","no","yes","no","no",16,12,11,12,"Yes"
"U167","GP",16,"U",1,2,0,"no","no","no","no","no","yes",4,10,10,10,"Yes"
"U168","GP",16,"U",1,2,0,"no","no","yes","no","yes","yes",0,14,15,16,"Yes"
"U169","GP",16,"U",1,2,0,"no","yes","yes","no","yes","yes",0,6,7,0,"No"
"U170","GP",16,"U",1,2,0,"no","yes","yes","no","yes","yes",0,14,14,14,"Yes"
"U171","GP",16,"U",3,1,2,"no","yes","no","yes","yes","yes",0,6,5,0,"No"
"U172","GP",16,"U",2,2,0,"no","yes","yes","yes","yes","yes",2,13,15,16,"Yes"
"U173","GP",17,"U",1,2,0,"no","yes","yes","yes","yes","yes",0,13,11,10,"Yes"
"U174","GP",16,"U",1,2,3,"no","no","no","yes","yes","yes",0,8,7,0,"No"
"U175","GP",16,"U",2,2,0,"no","yes","yes","yes","yes","yes",4,10,11,9,"No"
"U176","GP",17,"U",2,2,0,"no","no","yes","yes","yes","yes",4,10,9,9,"No"
"U177","GP",16,"U",2,2,0,"no","no","yes","yes","yes","yes",2,13,13,11,"Yes"
"U178","GP",17,"U",1,2,0,"no","no","no","yes","yes","yes",4,6,5,6,"No"
"U179","GP",16,"R",1,1,0,"no","yes","no","yes","yes","yes",10,10,8,9,"No"
"U180","GP",17,"U",1,2,0,"no","yes","no","yes","yes","yes",4,10,10,11,"Yes"
"U181","GP",16,"U",1,2,0,"no","yes","yes","yes","yes","yes",10,9,8,8,"No"
"U182","GP",16,"U",1,2,0,"no","no","yes","yes","yes","yes",2,12,13,12,"Yes"
"U183","GP",17,"U",1,2,0,"no","yes","no","yes","yes","no",0,16,17,17,"Yes"
"U184","GP",17,"U",1,2,0,"no","yes","no","yes","yes","yes",56,9,9,8,"No"
"U185","GP",16,"U",1,2,0,"no","yes","yes","no","yes","yes",14,12,13,12,"Yes"
"U186","GP",17,"U",1,2,0,"no","yes","no","yes","yes","yes",12,12,12,11,"Yes"
"U187","GP",16,"U",1,1,0,"no","yes","yes","yes","yes","yes",2,11,12,11,"Yes"
"U188","GP",16,"U",1,2,0,"no","no","yes","yes","yes","yes",0,15,15,15,"Yes"
"U189","GP",17,"U",1,2,0,"no","yes","no","no","yes","yes",6,8,7,9,"No"
"U190","GP",17,"R",1,2,0,"no","no","no","no","yes","no",4,8,9,10,"Yes"
"U191","GP",16,"U",1,2,0,"no","no","no","no","yes","yes",10,11,12,13,"Yes"
"U192","GP",17,"U",1,2,0,"no","no","no","yes","yes","yes",0,8,8,9,"No"
"U193","GP",17,"U",2,2,0,"no","no","yes","yes","yes","yes",12,7,8,8,"No"
"U194","GP",16,"R",1,1,0,"no","yes","no","yes","yes","yes",8,8,9,10,"Yes"
"U195","GP",16,"U",2,1,0,"no","no","no","no","yes","yes",0,13,14,14,"Yes"
"U196","GP",17,"U",1,2,0,"no","no","no","yes","yes","yes",0,14,15,15,"Yes"
"U197","GP",17,"U",1,1,0,"no","no","no","no","yes","yes",4,17,15,16,"Yes"
"U198","GP",16,"R",3,1,0,"no","yes","yes","yes","yes","yes",8,9,9,10,"Yes"
"U199","GP",17,"U",2,1,1,"no","yes","no","no","yes","yes",24,18,18,18,"Yes"
"U200","GP",16,"U",1,2,0,"no","yes","yes","no","yes","yes",0,9,9,10,"Yes"
"U201","GP",16,"U",1,2,0,"no","yes","no","yes","yes","yes",2,16,16,16,"Yes"
"U202","GP",16,"U",1,2,0,"yes","yes","yes","yes","yes","no",6,8,10,10,"Yes"
"U203","GP",17,"U",1,2,0,"no","yes","yes","no","yes","no",4,9,9,10,"Yes"
"U204","GP",17,"R",1,1,0,"no","yes","no","no","yes","yes",18,7,6,6,"No"
"U205","GP",16,"R",2,4,0,"no","yes","yes","yes","yes","yes",6,10,10,11,"Yes"
"U206","GP",17,"U",1,3,1,"no","yes","yes","no","yes","yes",28,10,9,9,"No"
"U207","GP",16,"U",1,2,3,"no","yes","yes","no","yes","yes",5,7,7,7,"No"
"U208","GP",16,"U",1,2,0,"no","no","yes","yes","yes","yes",10,11,12,13,"Yes"
"U209","GP",16,"U",2,1,0,"no","yes","yes","no","yes","no",6,9,9,10,"Yes"
"U210","GP",17,"R",2,3,0,"no","yes","yes","yes","yes","yes",6,7,7,7,"No"
"U211","GP",19,"U",1,4,0,"no","yes","yes","yes","yes","yes",10,8,8,8,"No"
"U212","GP",17,"U",1,2,0,"no","yes","yes","no","yes","yes",13,12,12,13,"Yes"
"U213","GP",16,"U",1,2,0,"yes","yes","yes","no","yes","yes",0,12,13,14,"Yes"
"U214","GP",18,"U",1,2,1,"no","yes","yes","yes","yes","yes",15,6,7,8,"No"
"U215","GP",17,"R",1,1,0,"no","yes","yes","no","yes","no",12,8,10,10,"Yes"
"U216","GP",17,"U",2,2,0,"no","no","yes","no","yes","yes",2,14,15,15,"Yes"
"U217","GP",17,"U",1,2,2,"no","no","yes","no","yes","yes",22,6,6,4,"No"
"U218","GP",18,"U",1,2,1,"no","yes","yes","no","yes","yes",13,6,6,8,"No"
"U219","GP",17,"U",2,1,0,"no","yes","yes","no","yes","no",3,7,7,8,"No"
"U220","GP",17,"U",1,3,0,"no","yes","yes","yes","yes","yes",4,9,10,10,"Yes"
"U221","GP",17,"R",2,2,0,"no","yes","no","yes","yes","yes",2,6,6,6,"No"
"U222","GP",17,"U",1,3,1,"no","yes","no","yes","yes","no",0,6,5,0,"No"
"U223","GP",16,"U",1,2,0,"yes","no","no","no","yes","yes",2,16,16,17,"Yes"
"U224","GP",18,"U",2,2,0,"no","yes","yes","no","yes","yes",0,12,13,13,"Yes"
"U225","GP",16,"U",1,3,0,"no","yes","no","yes","yes","yes",0,13,13,14,"Yes"
"U226","GP",18,"R",1,2,1,"no","no","no","yes","yes","yes",16,9,8,7,"No"
"U227","GP",17,"U",1,2,0,"no","no","no","yes","yes","yes",10,16,15,15,"Yes"
"U228","GP",17,"U",1,2,0,"no","yes","yes","no","yes","yes",2,12,11,12,"Yes"
"U229","GP",18,"U",4,2,0,"yes","yes","yes","yes","yes","yes",14,10,8,9,"No"
"U230","GP",17,"U",2,3,0,"no","no","no","yes","yes","yes",10,12,10,12,"Yes"
"U231","GP",17,"U",1,2,0,"no","no","no","yes","yes","yes",14,13,13,14,"Yes"
"U232","GP",17,"R",2,2,0,"no","yes","yes","yes","yes","yes",4,11,11,11,"Yes"
"U233","GP",17,"U",1,2,0,"yes","yes","no","yes","yes","yes",14,11,9,9,"No"
"U234","GP",16,"U",1,2,0,"no","yes","yes","yes","yes","yes",2,14,13,13,"Yes"
"U235","GP",16,"U",2,2,0,"no","yes","yes","no","yes","yes",18,9,7,6,"No"
"U236","GP",16,"U",2,3,0,"no","no","no","yes","yes","yes",10,11,9,10,"Yes"
"U237","GP",17,"U",1,2,0,"no","no","yes","yes","yes","yes",4,14,13,13,"Yes"
"U238","GP",16,"U",1,1,0,"no","no","no","no","yes","yes",20,13,12,12,"Yes"
"U239","GP",17,"R",3,2,0,"no","no","no","yes","yes","no",2,13,11,11,"Yes"
"U240","GP",18,"U",1,2,1,"no","no","no","no","no","yes",0,7,7,0,"No"
"U241","GP",17,"U",2,2,0,"no","no","no","yes","yes","yes",14,12,12,12,"Yes"
"U242","GP",17,"R",2,2,0,"no","yes","yes","no","yes","yes",2,10,11,12,"Yes"
"U243","GP",16,"U",1,1,0,"no","no","no","yes","yes","yes",0,6,0,0,"No"
"U244","GP",16,"U",1,1,0,"no","no","no","yes","yes","yes",0,13,12,12,"Yes"
"U245","GP",18,"U",2,3,0,"no","yes","yes","no","yes","yes",0,7,0,0,"No"
"U246","GP",16,"U",3,1,0,"no","no","no","no","yes","yes",6,18,18,18,"Yes"
"U247","GP",17,"U",2,1,0,"no","no","no","no","yes","yes",4,12,12,13,"Yes"
"U248","GP",22,"U",1,1,3,"no","no","no","no","no","yes",16,6,8,8,"No"
"U249","GP",18,"R",1,2,1,"no","yes","no","no","yes","yes",8,3,5,5,"No"
"U250","GP",16,"U",1,1,0,"no","no","yes","no","yes","yes",0,13,15,15,"Yes"
"U251","GP",18,"U",2,1,1,"no","no","no","no","no","yes",0,6,8,8,"No"
"U252","GP",16,"U",3,2,0,"yes","yes","no","no","yes","yes",6,7,10,10,"Yes"
"U253","GP",18,"U",1,1,1,"no","no","no","no","no","yes",4,6,9,8,"No"
"U254","GP",16,"R",2,1,0,"no","no","no","yes","yes","no",0,8,9,8,"No"
"U255","GP",17,"R",1,1,0,"no","no","no","no","yes","yes",0,8,12,12,"Yes"
"U256","GP",17,"U",2,1,1,"no","yes","no","yes","yes","yes",2,7,9,8,"No"
"U257","GP",17,"U",1,4,0,"no","yes","yes","yes","yes","yes",6,14,12,13,"Yes"
"U258","GP",19,"U",1,2,0,"no","yes","no","no","yes","yes",12,11,11,11,"Yes"
"U259","GP",18,"U",1,2,0,"no","no","no","yes","yes","yes",8,15,14,14,"Yes"
"U260","GP",17,"U",1,4,0,"no","no","yes","yes","yes","yes",0,10,9,0,"No"
"U261","GP",18,"U",1,2,0,"no","yes","yes","no","yes","yes",21,17,18,18,"Yes"
"U262","GP",18,"U",1,2,0,"no","yes","yes","no","yes","yes",2,8,8,8,"No"
"U263","GP",18,"R",1,3,0,"no","no","no","yes","yes","no",1,13,12,12,"Yes"
"U264","GP",17,"U",1,3,0,"no","no","no","yes","yes","no",4,10,9,9,"No"
"U265","GP",18,"U",1,3,0,"no","yes","yes","yes","yes","yes",0,9,10,0,"No"
"U266","GP",18,"R",2,2,0,"no","yes","yes","yes","yes","yes",13,17,17,17,"Yes"
"U267","GP",17,"U",1,2,0,"no","no","yes","yes","yes","yes",2,9,9,10,"Yes"
"U268","GP",18,"R",2,2,0,"no","no","yes","yes","yes","yes",8,12,10,11,"Yes"
"U269","GP",18,"U",1,2,0,"no","yes","yes","yes","yes","yes",10,10,9,10,"Yes"
"U270","GP",18,"R",2,2,0,"no","yes","no","no","no","yes",0,6,0,0,"No"
"U271","GP",19,"U",1,2,2,"no","yes","yes","yes","yes","yes",15,9,9,9,"No"
"U272","GP",18,"U",1,4,0,"no","yes","yes","yes","yes","yes",4,15,14,14,"Yes"
"U273","GP",18,"U",2,2,0,"no","yes","yes","no","yes","no",2,11,11,11,"Yes"
"U274","GP",17,"R",1,2,0,"no","yes","yes","yes","yes","no",2,15,14,14,"Yes"
"U275","GP",17,"U",2,2,0,"no","yes","yes","no","yes","yes",2,10,10,10,"Yes"
"U276","GP",17,"U",2,2,0,"yes","yes","yes","no","yes","yes",6,12,12,12,"Yes"
"U277","GP",18,"R",2,2,0,"no","no","no","no","no","yes",75,10,9,9,"No"
"U278","GP",18,"U",2,1,0,"no","no","yes","yes","yes","yes",22,9,9,9,"No"
"U279","GP",18,"U",1,2,1,"yes","yes","no","yes","yes","yes",15,9,8,8,"No"
"U280","GP",18,"U",2,1,0,"no","no","yes","yes","yes","yes",8,10,11,10,"Yes"
"U281","GP",17,"U",2,1,0,"no","no","yes","yes","yes","yes",30,8,8,8,"No"
"U282","GP",17,"U",1,1,1,"no","no","no","no","yes","yes",19,11,9,10,"Yes"
"U283","GP",18,"R",2,4,0,"no","yes","yes","yes","yes","no",1,12,12,12,"Yes"
"U284","GP",18,"U",2,2,0,"yes","no","no","yes","yes","yes",4,8,9,10,"Yes"
"U285","GP",17,"U",1,2,0,"no","yes","no","no","yes","yes",4,10,9,11,"Yes"
"U286","GP",17,"U",1,2,0,"no","no","yes","no","yes","yes",2,12,10,11,"Yes"
"U287","GP",18,"U",1,3,0,"no","yes","yes","no","yes","yes",5,18,18,19,"Yes"
"U288","GP",17,"U",1,3,0,"no","yes","yes","no","yes","yes",6,13,12,12,"Yes"
